,index,Size_Class,Curb_Wgt,ABS,Airbag_D,SSF,Drive,TireSize,StabilityControl,BrakeAssist,TractionControl,AdjUpperBeltFront,AdjUpperBeltRear,Pretensioner,IntegratedSeat,RearCtrLapShldrBelt,AdvanceAirbagFeature,SideAirbag,HeadAirbag,HeadAirbagRollover,RearSeatHeadRestraint,DynamicHeadRestraint,Roll_Stability,SafetyPowerWindows,WheelsDriven,DrStar_Num,PaStar_Num,DrSSTar_Num,PaSStar_Num
34,78,Sport Utility Vehicle,4646.0,False,False,1.17,RWD,29.503937007874015,True,False,False,False,True,False,False,True,True,True,True,False,True,False,False,False,RWD/4WD,2,3,4,4
35,81,Sport Utility Vehicle,4479.0,False,False,1.3,FWD,29.02755905511811,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,FWD/AWD,4,4,4,4
36,118,Pickup,4392.0,False,False,1.19,RWD,29.503937007874015,False,False,False,True,False,False,False,False,True,True,True,False,True,False,False,False,RWD/AWD,4,3,4,4
37,120,Medium Passenger Car,3430.0,False,False,1.43,FWD,25.858267716535433,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD,4,3,4,4
38,121,Van,4342.0,False,False,1.17,FWD,27.62992125984252,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,4,3,4
39,122,Sport Utility Vehicle,4646.0,False,False,1.17,RWD,29.503937007874015,True,False,False,False,True,False,True,True,True,True,True,False,True,False,False,False,RWD/AWD,2,3,4,4
40,123,Medium Passenger Car,3250.0,False,False,1.4,FWD,25.49212598425197,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,FWD,4,4,3,4
41,135,Medium Passenger Car,3433.0,False,False,1.44,FWD,26.744094488188978,False,False,False,True,True,False,False,True,True,True,True,False,False,False,False,False,FWD,4,4,2,3
42,171,Heavy Passenger Car,3558.0,False,False,1.44,FWD,25.32677165354331,True,False,True,True,False,False,True,True,True,True,True,False,True,False,False,False,FWD,4,4,3,4
43,172,Medium Passenger Car,3250.0,False,False,1.4,FWD,25.49212598425197,False,False,False,True,True,False,False,True,False,True,True,False,True,False,False,False,FWD,4,4,4,3
44,174,Heavy Passenger Car,3766.0,False,False,1.45,FWD,26.62992125984252,False,False,True,False,True,False,False,False,True,True,True,False,False,False,False,False,FWD,4,4,3,3
45,217,Compact Passenger Car,2640.0,False,False,1.44,FWD,24.87795275590551,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,False,FWD,4,4,2,4
46,218,Compact Passenger Car,2749.0,False,False,1.43,FWD,24.87795275590551,False,False,False,True,False,False,True,True,True,True,True,False,True,True,False,False,FWD,4,4,3,4
47,227,Medium Passenger Car,3348.0,False,False,1.37,FWD,25.311023622047244,True,True,True,True,False,False,False,True,True,True,True,False,True,True,False,False,FWD/AWD,3,3,4,3
48,229,Sport Utility Vehicle,4486.0,False,False,1.13,RWD,28.952755905511815,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,RWD/AWD,4,4,4,4
49,231,Sport Utility Vehicle,4486.0,False,False,1.13,RWD,28.952755905511815,True,False,True,True,False,False,True,True,True,True,True,False,True,False,True,False,RWD/AWD,4,4,4,4
50,232,Medium Passenger Car,3499.0,False,False,1.43,FWD,25.858267716535433,False,False,False,True,False,False,True,True,True,True,True,False,False,False,False,False,FWD,3,3,3,3
51,233,Medium Passenger Car,3499.0,False,False,1.43,FWD,25.858267716535433,False,False,False,True,False,False,False,True,True,True,True,False,False,False,False,False,FWD,3,3,4,3
52,235,Medium Passenger Car,3221.0,False,False,1.49,FWD,25.49212598425197,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,FWD,4,4,2,2
53,236,Van,4342.0,False,False,1.17,FWD,27.62992125984252,False,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,4,3,4
54,237,Van,4566.0,False,False,1.31,FWD,28.401574803149607,True,False,False,True,True,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,4,4
55,239,Medium Passenger Car,3412.0,False,False,1.42,FWD,26.15748031496063,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,4,4,4,4
56,240,Compact Passenger Car,2768.0,False,False,1.42,FWD,23.468503937007874,False,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,FWD,4,4,1,3
57,241,Sport Utility Vehicle,3815.0,False,False,1.23,2WD,28.02755905511811,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD/AWD,4,4,4,4
58,246,Sport Utility Vehicle,3983.0,False,False,1.19,FWD,28.401574803149607,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,RWD/AWD,3,4,4,4
59,247,Compact Passenger Car,2910.0,False,False,1.4,FWD,24.212598425196852,False,False,False,True,False,False,False,True,True,True,True,False,True,False,False,False,FWD,4,3,4,3
60,248,Medium Passenger Car,3336.0,False,False,1.44,FWD,25.858267716535433,True,False,True,True,False,False,False,True,True,True,True,False,True,True,False,False,FWD,4,4,4,4
61,249,Pickup,4485.0,False,False,1.16,RWD,30.606299212598426,False,False,False,True,False,False,False,True,True,True,True,False,True,True,False,False,RWD/AWD,3,3,4,4
62,250,Medium Passenger Car,3488.0,False,False,1.42,FWD,26.681102362204726,False,True,True,True,False,False,False,True,True,True,True,False,True,True,False,False,FWD,4,3,3,3
